DBG 2024-08-03 03:17:36.460+00:00 Serving API request                        tid=1 file=serverprivate.nim:202 peer=172.17.0.1:53754 meth=GET uri=/debug/v1/info path_params=[] query_params=[] content_body=(None)
DBG 2024-08-03 03:17:36.460+00:00 Received response from handler             tid=1 file=serverprivate.nim:297 status=200 meth=GET peer=172.17.0.1:53754 uri=/debug/v1/info content_type=application/json content_size=462
TRC 2024-08-03 03:17:37.231+00:00 running heartbeat                          topics="libp2p gossipsub" tid=1 file=behavior.nim:775 instance=140213083755584
TRC 2024-08-03 03:17:37.231+00:00 getting gossip peers (iHave)               topics="libp2p gossipsub" tid=1 file=behavior.nim:647 ntopics=0
TRC 2024-08-03 03:17:37.240+00:00 Got new request                            topics="websock http-server" tid=1 file=server.nim:213 isTls=false
TRC 2024-08-03 03:17:37.240+00:00 Received connection                        topics="websock http-server" tid=1 file=server.nim:77 address=172.18.71.45:32882
TRC 2024-08-03 03:17:37.240+00:00 Received valid HTTP request                topics="websock http-server" tid=1 file=server.nim:109 address=172.18.71.45:32882
TRC 2024-08-03 03:17:37.240+00:00 Awaiting new request                       topics="websock http-server" tid=1 file=server.nim:193
TRC 2024-08-03 03:17:37.240+00:00 Didn't match any protocol                  topics="websock ws-server" tid=1 file=websock.nim:310 supported="@[\"\"]" requested="@[\"\"]"
TRC 2024-08-03 03:17:37.240+00:00 Stream created                             topics="libp2p lpstream" tid=1 file=lpstream.nim:113 s=66ada151f634b1242b3d00c3 objName=WsStream dir=In
TRC 2024-08-03 03:17:37.240+00:00 Monitoring for timeout                     topics="libp2p connection" tid=1 file=connection.nim:64 s=:66ada151f634b1242b3d00c3 timeout=10m
DBG 2024-08-03 03:17:37.240+00:00 Accepted an incoming connection            topics="libp2p switch" tid=1 file=switch.nim:260 conn=:66ada151f634b1242b3d00c3
TRC 2024-08-03 03:17:37.240+00:00 Upgrading connection                       topics="libp2p muxedupgrade" tid=1 file=muxedupgrade.nim:69 conn=:66ada151f634b1242b3d00c3 direction=In
TRC 2024-08-03 03:17:37.240+00:00 Starting multistream negotiation           topics="libp2p multistream" tid=1 file=multistream.nim:138 conn=:66ada151f634b1242b3d00c3 handshaked=false
TRC 2024-08-03 03:17:37.240+00:00 Reading new frame                          topics="websock ws-session" tid=1 file=frame.nim:163
DBG 2024-08-03 03:17:37.240+00:00 About to accept incoming connection        topics="libp2p switch" tid=1 file=switch.nim:234
TRC 2024-08-03 03:17:37.241+00:00 Acquired slot                              topics="libp2p semaphore" tid=1 file=semaphore.nim:38 available=2 queue=0
TRC 2024-08-03 03:17:37.241+00:00 Acquired slot                              topics="libp2p semaphore" tid=1 file=semaphore.nim:38 available=47 queue=0
TRC 2024-08-03 03:17:37.241+00:00 Decoded new frame                          topics="websock ws-session" tid=1 file=session.nim:345 len=32 fin=true mask=true opcode=Binary
TRC 2024-08-03 03:17:37.241+00:00 Setting binary flag                        topics="libp2p wstransport" tid=1 file=session.nim:414 consumed=0 len=32 first=true remainder=32 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.241+00:00 Reading bytes from frame stream            topics="libp2p wstransport" tid=1 file=session.nim:418 len=32 consumed=0 first=true remainder=32 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.241+00:00 Read data from frame                       topics="libp2p wstransport" tid=1 file=session.nim:428 read=1 consumed=1 len=32 first=true remainder=31 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.241+00:00 Setting binary flag                        topics="libp2p wstransport" tid=1 file=session.nim:414 consumed=1 len=32 first=true remainder=31 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.241+00:00 Reading bytes from frame stream            topics="libp2p wstransport" tid=1 file=session.nim:418 len=32 consumed=1 first=true remainder=31 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.241+00:00 Read data from frame                       topics="libp2p wstransport" tid=1 file=session.nim:428 read=19 consumed=20 len=32 first=true remainder=12 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.241+00:00 handle: got request                        topics="libp2p multistream" tid=1 file=multistream.nim:150 conn=:66ada151f634b1242b3d00c3 ms=/multistream/1.0.0
TRC 2024-08-03 03:17:37.241+00:00 Sending data to remote                     topics="websock ws-session" tid=1 file=session.nim:119 opcode=Binary masked=false dataSize=20
TRC 2024-08-03 03:17:37.241+00:00 Setting binary flag                        topics="libp2p wstransport" tid=1 file=session.nim:414 consumed=20 len=32 first=true remainder=12 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.241+00:00 Reading bytes from frame stream            topics="libp2p wstransport" tid=1 file=session.nim:418 len=32 consumed=20 first=true remainder=12 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.241+00:00 Read data from frame                       topics="libp2p wstransport" tid=1 file=session.nim:428 read=1 consumed=21 len=32 first=true remainder=11 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.241+00:00 Setting binary flag                        topics="libp2p wstransport" tid=1 file=session.nim:414 consumed=21 len=32 first=true remainder=11 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.241+00:00 Reading bytes from frame stream            topics="libp2p wstransport" tid=1 file=session.nim:418 len=32 consumed=21 first=true remainder=11 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.241+00:00 Read data from frame                       topics="libp2p wstransport" tid=1 file=session.nim:428 read=11 consumed=32 len=32 first=true remainder=0 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.241+00:00 Read all frames, breaking                  topics="libp2p wstransport" tid=1 file=session.nim:437 consumed=32 len=32 first=false remainder=0 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.241+00:00 handle: got request                        topics="libp2p multistream" tid=1 file=multistream.nim:150 conn=:66ada151f634b1242b3d00c3 ms=/tls/1.0.0
TRC 2024-08-03 03:17:37.241+00:00 no handlers                                topics="libp2p multistream" tid=1 file=multistream.nim:175 conn=:66ada151f634b1242b3d00c3 protocol=/tls/1.0.0
TRC 2024-08-03 03:17:37.241+00:00 Sending data to remote                     topics="websock ws-session" tid=1 file=session.nim:119 opcode=Binary masked=false dataSize=4
TRC 2024-08-03 03:17:37.241+00:00 Reading new frame                          topics="websock ws-session" tid=1 file=frame.nim:163
TRC 2024-08-03 03:17:37.281+00:00 Decoded new frame                          topics="websock ws-session" tid=1 file=session.nim:345 len=8 fin=true mask=true opcode=Binary
TRC 2024-08-03 03:17:37.281+00:00 Setting binary flag                        topics="libp2p wstransport" tid=1 file=session.nim:414 consumed=0 len=8 first=true remainder=8 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.281+00:00 Reading bytes from frame stream            topics="libp2p wstransport" tid=1 file=session.nim:418 len=8 consumed=0 first=true remainder=8 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.282+00:00 Read data from frame                       topics="libp2p wstransport" tid=1 file=session.nim:428 read=1 consumed=1 len=8 first=true remainder=7 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.282+00:00 Setting binary flag                        topics="libp2p wstransport" tid=1 file=session.nim:414 consumed=1 len=8 first=true remainder=7 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.282+00:00 Reading bytes from frame stream            topics="libp2p wstransport" tid=1 file=session.nim:418 len=8 consumed=1 first=true remainder=7 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.282+00:00 Read data from frame                       topics="libp2p wstransport" tid=1 file=session.nim:428 read=7 consumed=8 len=8 first=true remainder=0 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.282+00:00 Read all frames, breaking                  topics="libp2p wstransport" tid=1 file=session.nim:437 consumed=8 len=8 first=false remainder=0 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.282+00:00 handle: got request                        topics="libp2p multistream" tid=1 file=multistream.nim:150 conn=:66ada151f634b1242b3d00c3 ms=/noise
TRC 2024-08-03 03:17:37.282+00:00 found handler                              topics="libp2p multistream" tid=1 file=multistream.nim:170 conn=:66ada151f634b1242b3d00c3 protocol=/noise
TRC 2024-08-03 03:17:37.282+00:00 Sending data to remote                     topics="websock ws-session" tid=1 file=session.nim:119 opcode=Binary masked=false dataSize=8
TRC 2024-08-03 03:17:37.282+00:00 Securing connection                        topics="libp2p upgrade" tid=1 file=upgrade.nim:64 conn=:66ada151f634b1242b3d00c3 codec=/noise
TRC 2024-08-03 03:17:37.282+00:00 Starting Noise handshake                   topics="libp2p noise" tid=1 file=noise.nim:521 conn=:66ada151f634b1242b3d00c3 initiator=false
TRC 2024-08-03 03:17:37.282+00:00 mixHash                                    topics="libp2p noise" tid=1 file=noise.nim:198 hash=f3d15e6108ed...2e0958dc002d
TRC 2024-08-03 03:17:37.282+00:00 Reading new frame                          topics="websock ws-session" tid=1 file=frame.nim:163
TRC 2024-08-03 03:17:37.282+00:00 Decoded new frame                          topics="websock ws-session" tid=1 file=session.nim:345 len=34 fin=true mask=true opcode=Binary
TRC 2024-08-03 03:17:37.282+00:00 Setting binary flag                        topics="libp2p wstransport" tid=1 file=session.nim:414 consumed=0 len=34 first=true remainder=34 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.282+00:00 Reading bytes from frame stream            topics="libp2p wstransport" tid=1 file=session.nim:418 len=34 consumed=0 first=true remainder=34 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.282+00:00 Read data from frame                       topics="libp2p wstransport" tid=1 file=session.nim:428 read=2 consumed=2 len=34 first=true remainder=32 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.282+00:00 readFrame                                  topics="libp2p noise" tid=1 file=noise.nim:312 sconn=:66ada151f634b1242b3d00c3 size=32
TRC 2024-08-03 03:17:37.282+00:00 Setting binary flag                        topics="libp2p wstransport" tid=1 file=session.nim:414 consumed=2 len=34 first=true remainder=32 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.282+00:00 Reading bytes from frame stream            topics="libp2p wstransport" tid=1 file=session.nim:418 len=34 consumed=2 first=true remainder=32 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.282+00:00 Read data from frame                       topics="libp2p wstransport" tid=1 file=session.nim:428 read=32 consumed=34 len=34 first=true remainder=0 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.282+00:00 Read all frames, breaking                  topics="libp2p wstransport" tid=1 file=session.nim:437 consumed=34 len=34 first=false remainder=0 fin=true opcode=Binary masked=true
TRC 2024-08-03 03:17:37.282+00:00 noise read e                               topics="libp2p noise" tid=1 file=noise.nim:277 size=32
TRC 2024-08-03 03:17:37.282+00:00 mixHash                                    topics="libp2p noise" tid=1 file=noise.nim:198 hash=9e06578c3ed0...3755f2e984fb
TRC 2024-08-03 03:17:37.282+00:00 mixHash                                    topics="libp2p noise" tid=1 file=noise.nim:198 hash=642d7aa461cb...30700701f9b6
TRC 2024-08-03 03:17:37.282+00:00 noise write e                              topics="libp2p noise" tid=1 file=noise.nim:237
TRC 2024-08-03 03:17:37.282+00:00 mixHash                                    topics="libp2p noise" tid=1 file=noise.nim:198 hash=1a287317d40b...e46d6ccaf997
TRC 2024-08-03 03:17:37.283+00:00 noise dh ee                                topics="libp2p noise" tid=1 file=noise.nim:250
