INF 2024-07-15 13:16:25.645+00:00 relay started successfully                 topics="waku node" tid=1 file=waku_node.nim:397
DBG 2024-07-15 13:16:25.645+00:00 starting switch for peer                   topics="libp2p switch" tid=1 file=switch.nim:312 peerInfo="(peerId: \"16Uiu2HAmGNtM2rQ8abySFNhqPDFY4cmfAEpfo9Z9fD3NekoFR2ip\", listenAddrs: @[\"/ip4/0.0.0.0/tcp/36283/ws\", \"/ip4/0.0.0.0/tcp/36282\"], addrs: @[], protocols: @[\"/ipfs/id/1.0.0\", \"/libp2p/autonat/1.0.0\", \"/libp2p/circuit/relay/0.2.0/hop\", \"/vac/waku/metadata/1.0.0\", \"/vac/waku/relay/2.0.0\", \"/rendezvous/1.0.0\", \"/ipfs/ping/1.0.0\", \"/vac/waku/lightpush/2.0.0-beta1\", \"/vac/waku/peer-exchange/2.0.0-alpha1\"], protoVersion: \"ipfs/0.1.0\", agentVersion: \"nwaku\")"
TRC 2024-07-15 13:16:25.645+00:00 Starting TCP transport                     topics="libp2p tcptransport" tid=1 file=tcptransport.nim:122
TRC 2024-07-15 13:16:25.645+00:00 Listening on                               topics="libp2p tcptransport" tid=1 file=tcptransport.nim:144 address=/ip4/0.0.0.0/tcp/36282
TRC 2024-07-15 13:16:25.645+00:00 starting transport on addrs                topics="libp2p transport" tid=1 file=transport.nim:46 address=@[/ip4/0.0.0.0/tcp/36282]
TRC 2024-07-15 13:16:25.645+00:00 starting transport on addrs                topics="libp2p transport" tid=1 file=transport.nim:46 address=@[/ip4/0.0.0.0/tcp/36283/ws]
TRC 2024-07-15 13:16:25.645+00:00 Starting WS transport                      topics="libp2p wstransport" tid=1 file=wstransport.nim:128
TRC 2024-07-15 13:16:25.646+00:00 Created HTTP Server                        topics="libp2p wstransport" tid=1 file=server.nim:261 host=0.0.0.0:36283
TRC 2024-07-15 13:16:25.646+00:00 Listening on                               topics="libp2p wstransport" tid=1 file=wstransport.nim:172 addresses=@[/ip4/0.0.0.0/tcp/36283/ws]
DBG 2024-07-15 13:16:25.646+00:00 About to accept incoming connection        topics="libp2p switch" tid=1 file=switch.nim:234
TRC 2024-07-15 13:16:25.646+00:00 Acquired slot                              topics="libp2p semaphore" tid=1 file=semaphore.nim:38 available=3 queue=0
TRC 2024-07-15 13:16:25.646+00:00 Acquired slot                              topics="libp2p semaphore" tid=1 file=semaphore.nim:38 available=49 queue=0
DBG 2024-07-15 13:16:25.646+00:00 About to accept incoming connection        topics="libp2p switch" tid=1 file=switch.nim:234
TRC 2024-07-15 13:16:25.646+00:00 Acquired slot                              topics="libp2p semaphore" tid=1 file=semaphore.nim:38 available=3 queue=0
TRC 2024-07-15 13:16:25.646+00:00 Acquired slot                              topics="libp2p semaphore" tid=1 file=semaphore.nim:38 available=48 queue=0
TRC 2024-07-15 13:16:25.646+00:00 Awaiting new request                       topics="websock http-server" tid=1 file=server.nim:193
DBG 2024-07-15 13:16:25.646+00:00 Setting up WildcardAddressResolverService  topics="libp2p wildcardresolverservice" tid=1 file=wildcardresolverservice.nim:170
INF 2024-07-15 13:16:25.646+00:00 Setting up AutonatService                  topics="libp2p autonatservice" tid=1 file=service.nim:207
TRC 2024-07-15 13:16:25.646+00:00 Running AutonatService                     topics="libp2p autonatservice" tid=1 file=service.nim:225
TRC 2024-07-15 13:16:25.646+00:00 Asking peers for reachability              topics="libp2p autonatservice" tid=1 file=service.nim:164
TRC 2024-07-15 13:16:25.646+00:00 gossipsub start                            topics="libp2p gossipsub" tid=1 file=gossipsub.nim:823
WRN 2024-07-15 13:16:25.646+00:00 Starting gossipsub twice                   topics="libp2p gossipsub" tid=1 file=gossipsub.nim:826
DBG 2024-07-15 13:16:25.646+00:00 Started libp2p node                        topics="libp2p switch" tid=1 file=switch.nim:341 peer="(peerId: \"16Uiu2HAmGNtM2rQ8abySFNhqPDFY4cmfAEpfo9Z9fD3NekoFR2ip\", listenAddrs: @[\"/ip4/0.0.0.0/tcp/36282\", \"/ip4/0.0.0.0/tcp/36283/ws\"], addrs: @[\"/ip4/172.18.112.52/tcp/36282\", \"/ip4/172.18.112.52/tcp/36283/ws\"], protocols: @[\"/ipfs/id/1.0.0\", \"/libp2p/autonat/1.0.0\", \"/libp2p/circuit/relay/0.2.0/hop\", \"/vac/waku/metadata/1.0.0\", \"/vac/waku/relay/2.0.0\", \"/rendezvous/1.0.0\", \"/ipfs/ping/1.0.0\", \"/vac/waku/lightpush/2.0.0-beta1\", \"/vac/waku/peer-exchange/2.0.0-alpha1\"], protoVersion: \"ipfs/0.1.0\", agentVersion: \"nwaku\")"
INF 2024-07-15 13:16:25.646+00:00 PeerInfo                                   topics="waku node" tid=1 file=waku_node.nim:1239 peerId=16U*oFR2ip addrs="@[/ip4/172.18.112.52/tcp/36282, /ip4/172.18.112.52/tcp/36283/ws]"
INF 2024-07-15 13:16:25.646+00:00 Listening on                               topics="waku node" tid=1 file=waku_node.nim:1251 full=[/ip4/0.0.0.0/tcp/36282/p2p/16Uiu2HAmGNtM2rQ8abySFNhqPDFY4cmfAEpfo9Z9fD3NekoFR2ip][/ip4/0.0.0.0/tcp/36283/ws/p2p/16Uiu2HAmGNtM2rQ8abySFNhqPDFY4cmfAEpfo9Z9fD3NekoFR2ip] localIp=172.17.0.4
INF 2024-07-15 13:16:25.646+00:00 Announcing addresses                       topics="waku node" tid=1 file=waku_node.nim:1252 full=[/ip4/172.18.112.52/tcp/36282/p2p/16Uiu2HAmGNtM2rQ8abySFNhqPDFY4cmfAEpfo9Z9fD3NekoFR2ip][/ip4/172.18.112.52/tcp/36283/ws/p2p/16Uiu2HAmGNtM2rQ8abySFNhqPDFY4cmfAEpfo9Z9fD3NekoFR2ip]
