"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2804","test_store","tests.discv5","Sun Dec 15 09:36:18 GMT 2024","passed","Sun Dec 15 09:36:21 GMT 2024","TestDiscv5","test_discv5","",""
"","4774","test_relay","tests.discv5","Sun Dec 15 09:36:11 GMT 2024","passed","Sun Dec 15 09:36:16 GMT 2024","TestDiscv5","test_discv5","",""
"","34869","test_relay_receiving_node_not_connected_directly_to_relaying_node","tests.e2e","Sun Dec 15 09:36:24 GMT 2024","passed","Sun Dec 15 09:36:59 GMT 2024","TestE2E","test_e2e","",""
"","36005","test_relay_receiving_node_not_connected_directly_to_lightpushing_node","tests.e2e","Sun Dec 15 09:37:03 GMT 2024","passed","Sun Dec 15 09:37:39 GMT 2024","TestE2E","test_e2e","",""
